datetime,slot,type,text,tweet_id,status,chars
2026-04-17T11:52:53.6057001Z,midday,platform_story,,2045108232226476253,published,0
2026-04-17T16:51:14.6578782Z,evening,platform_highlight,,2045183314655408445,published,0
2026-04-18T10:37:52.7505095Z,weekend,platform_story,,2045451742096036310,published,0
2026-04-19T15:27:11.0013338Z,weekend,gaming_opinion,,2045886935563108846,published,0
2026-04-20T09:12:30.7165703Z,midday,game_analysis,,2046155034006544892,published,0
2026-04-20T12:04:34.4006859Z,midday,game_analysis,,2046198334470173095,published,0
2026-04-20T17:00:15.4586026Z,evening,engagement,,2046272746489827599,published,0
2026-04-21T08:57:21.7281417Z,morning,game_hype_check,,2046513609107276169,published,0
2026-04-21T11:59:27.9539780Z,midday,game_disappointment,,2046559437045829713,published,0
2026-04-21T16:55:09.6243186Z,evening,platform_highlight,,2046633851439530315,published,0
2026-04-22T08:52:53.9191866Z,morning,market_opinion,,2046874874354729404,published,0
2026-04-22T11:59:46.0553736Z,midday,gaming_fact,,2046921901088608719,published,0
2026-04-23T07:33:44.303934+00:00,morning,game_disappointment,"Hot take: Marvel's Wolverine will be a great game but a terrible stock catalyst. |  | Sony is a mega-cap. One PS5 exclusive, even a big one, gets diluted. |  | Our score: 22/100. Play the game, skip the stock. |  | Not investment advice, obviously.",,test,236
2026-04-23T07:33:44.341623+00:00,midday,game_disappointment,Remember Cyberpunk 2077? |  | Massive hype. Broken launch. $CDR.WA crashed -33.7% in 30 days. |  | That's why we built the 'Cyberpunk Factor' into our model. Extreme hype + expectations gap = danger zone. |  | Lesson learned.,,test,213
2026-04-23T07:33:44.380918+00:00,midday2,game_analysis,Castlevania: Belmont's Curse — is the market paying attention? |  | Our signal for $KNAMF: Buy |  | Sometimes the best opportunities are the ones nobody's talking about. |  | https://lagentedetom.github.io/games-and-stock/,,test,210
2026-04-23T07:33:44.418945+00:00,evening,gaming_fact,History lesson: The Witcher 3 (2015) |  | $CDR.WA moved: | PRE-60d: +10.4% | PRE-30d: +27.7% | POST-30d: +3.0% | POST-90d: +4.7% |  | The pattern is almost always the same: the pre-launch window is where it happens.,,test,199
2026-04-23T07:33:44.457252+00:00,weekend,game_hype_check,"Star Fox announcement reportedly imminent. |  | A new Star Fox with online multiplayer? In 2026? If Nintendo plays this right, it could be a sleeper hit for $NTDOY. |  | We'll be tracking the Google Trends data as soon as it drops. |  | https://lagentedetom.github.io/games-and-stock/",,test,272
